"REF_DATE","GEO","DGUID","Variable","Product category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Total, all product categories","Tonnes","287","units","0","v1331406743","1.8.1","910052","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Construction materials","Tonnes","287","units","0","v1331406744","1.8.2","9731","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Electrical and electronic equipment","Tonnes","287","units","0","v1331406745","1.8.3","56697","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Electronics","Tonnes","287","units","0","v1331406746","1.8.4","32475","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Major appliances","Tonnes","287","units","0","v1331406747","1.8.5","23564","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406748","1.8.6","658","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Packaging","Tonnes","287","units","0","v1331406749","1.8.7","351658","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Bottles","Tonnes","287","units","0","v1331406750","1.8.8","232753","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Film","Tonnes","287","units","0","v1331406751","1.8.9","49912","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Non-bottle rigid","Tonnes","287","units","0","v1331406752","1.8.10","67729","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Other packaging products","Tonnes","287","units","0","v1331406753","1.8.11","1264","","","","0"
"2012","Canada","2021A000011124","Diverted plastic waste and scrap sent for material recovery","Agriculture film","Tonnes","287","units","0","v1331406754","1.8.12","5244","","","","0"
